,account,is_momentum,is_reverse,is_institution,age,open_time
584,499159682517,0,0,0,44.0,800.0
585,499159682521,0,0,0,30.0,760.0
586,499159682523,0,0,0,31.0,760.0
587,499159682620,1,0,0,30.0,667.0
588,499159682622,0,1,0,30.0,670.0
589,499354682516,1,0,0,35.0,1474.0
590,499354682517,1,0,0,54.0,1410.0
591,499354682519,1,0,0,41.0,1374.0
592,499354682520,0,0,0,44.0,1403.0
593,499354682521,0,0,0,35.0,1361.0
594,499354682522,0,0,0,42.0,1297.0
595,499354682614,0,0,0,37.0,1174.0
596,499354682615,0,0,0,64.0,1137.0
597,499354682620,0,0,0,37.0,1090.0
598,499354682621,0,1,0,32.0,1080.0
599,499354682623,0,0,0,28.0,1073.0
600,499354682714,0,0,0,26.0,1054.0
601,499354682715,0,0,0,33.0,1034.0
602,499354682716,0,0,0,36.0,1032.0
603,499354682721,0,0,0,43.0,912.0
604,499354682814,1,0,0,34.0,633.0
605,499354682815,0,1,0,31.0,619.0
606,499354682823,0,0,0,37.0,585.0
607,499354683016,0,0,0,45.0,565.0
608,499354683017,0,0,0,28.0,508.0
609,499354693322,0,0,0,30.0,879.0
610,499355682515,1,0,0,60.0,1347.0
611,499355682517,0,0,0,44.0,1297.0
612,499355682522,0,0,0,40.0,1406.0
613,499355682615,0,0,0,31.0,1026.0
614,499355682622,0,0,0,51.0,984.0
615,499355682623,0,0,0,30.0,979.0
616,499355682714,0,0,0,31.0,964.0
617,499355682719,0,0,1,,
618,499355682721,0,0,0,37.0,643.0
619,499355682722,0,0,0,34.0,641.0
620,499355682816,0,0,1,,
621,499355682817,0,0,1,,
622,499355683016,1,0,0,38.0,653.0
623,499355683020,0,1,0,28.0,255.0
624,499355683021,0,0,1,,
625,499355683114,0,1,0,29.0,1111.0
626,499355683115,0,0,0,65.0,628.0
627,499355683120,0,0,0,26.0,919.0
628,499355683123,0,0,0,25.0,590.0
629,499355683214,0,0,0,39.0,577.0
630,499355683223,0,0,0,38.0,523.0
631,499355683314,0,0,0,52.0,509.0
632,499355683316,1,0,0,38.0,432.0
633,499355683317,0,0,0,67.0,433.0
634,499355683322,0,0,0,62.0,1138.0
635,499355683419,0,0,0,47.0,411.0
636,499355692615,0,0,1,,
637,499355693015,0,0,0,26.0,1151.0
638,499355712817,0,0,0,34.0,646.0
